open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1760025600000,121079.40,121426.70,119619.00,119752.10,18266.265,1760029199999,2200678422.82280,359242,6413.793,773356516.46380,0
1760029200000,119752.10,121000.30,119572.80,120915.60,13833.993,1760032799999,1663332621.03600,326924,8119.483,976349774.44230,0
1760032800000,120915.50,121051.20,120319.00,120600.00,6755.102,1760036399999,814894313.67700,182618,2974.927,358880416.16250,0
1760036400000,120600.00,121060.10,120600.00,120897.60,3150.827,1760039999999,380798439.74240,108596,1672.785,202175542.18290,0
1760040000000,120897.60,121147.20,120787.90,121045.40,2403.121,1760043599999,290691475.18870,86818,1188.826,143807030.21930,0
1760043600000,121045.30,121457.20,120998.30,121407.80,2607.265,1760047199999,316208460.79200,68649,1359.531,164877145.37060,0
1760047200000,121407.90,121712.40,121342.00,121619.50,2246.745,1760050799999,273046599.82430,70194,1149.334,139679718.96550,0
1760050800000,121619.60,121671.10,121271.30,121579.30,2393.272,1760054399999,290724007.34990,65173,1008.454,122513596.65640,0
1760054400000,121579.40,121808.00,121523.70,121682.20,2192.456,1760057999999,266754095.70910,67192,1064.768,129561141.54020,0
1760058000000,121682.20,121835.50,121425.30,121575.30,2043.450,1760061599999,248563094.40140,70432,834.399,101508573.40900,0
1760061600000,121575.20,121595.40,120850.00,121007.20,7284.280,1760065199999,882888561.82900,140279,2639.891,319906517.68110,0
1760065200000,121007.10,121535.30,120852.40,120960.80,4593.928,1760068799999,556916525.03150,110590,2583.626,313256412.32050,0
1760068800000,120960.80,121342.50,120956.80,121192.70,3204.548,1760072399999,388278457.04460,87263,1700.491,206052618.61680,0
1760072400000,121192.60,121559.10,120933.70,121529.60,3217.901,1760075999999,390324357.22230,77468,1648.161,199911313.41860,0
1760076000000,121529.60,121712.20,121194.30,121315.00,3603.694,1760079599999,437920233.69870,93547,1789.869,217515632.85790,0
